Harga Sewa,Kota,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti,Harga Sewa Log
100000000.0,Jakarta Utara,4.0,4.0,90.0,128.0,1,HGB,16500.0,0.0,0.0,0.0,2.0,Bagus,18.420680753952364
70000000.0,Jakarta Utara,3.0,3.0,75.0,98.0,1,HGB,10800.0,0.0,0.0,0.0,2.0,Bagus,18.064005814299346
485000000.0,Jakarta Selatan,4.0,4.0,456.0,600.0,2,SHM,7700.0,0.0,0.0,1.0,2.0,Bagus,19.999659450963613
400000000.0,Jakarta Selatan,5.0,3.0,736.0,800.0,2,SHM,7600.0,0.0,0.0,1.0,2.0,Bagus,19.806975107572256
10000000.0,Badung,1.0,1.0,130.0,45.0,1,SHM,11000.0,0.0,0.0,0.0,2.0,Bagus,16.118095750958314
350000000.0,Jakarta Selatan,5.0,4.0,617.0,259.0,0,SHM,23000.0,2.0,1.0,4.0,2.0,Bagus,19.673443715304877
25000000.0,Sleman,4.0,1.0,200.0,80.0,3,SHM,5500.0,0.0,0.0,0.0,1.0,Bagus,17.034386422832473
350000000.0,Jakarta Barat,4.0,3.0,484.0,342.0,6,SHM,10600.0,0.0,0.0,0.0,2.0,Butuh Renovasi,19.673443715304877
95000000.0,Tangerang,4.0,3.0,160.0,160.0,0,SHM,13200.0,1.0,1.0,0.0,2.0,Bagus,18.36938746009113
90000000.0,Tangerang Selatan,5.0,4.0,200.0,350.0,1,SHM,8000.0,0.0,0.0,2.0,2.0,Bagus,18.31532023940565
110000000.0,Jakarta Barat,3.0,2.0,120.0,130.0,2,SHM,6600.0,1.0,1.0,2.0,2.0,Bagus,18.5159909328476
100000000.0,Jakarta Selatan,3.0,3.0,60.0,200.0,1,SHM,1300.0,0.0,0.0,0.0,2.0,Bagus,18.420680753952364
260000000.0,Jakarta Timur,7.0,4.0,450.0,500.0,5,SHM,2200.0,0.0,0.0,1.0,2.0,Bagus,19.376192192825954
48000000.0,Karawang,3.0,2.0,90.0,114.0,0,SHM,10000.0,0.0,0.0,1.0,2.0,Sudah Renovasi,17.6867115897055
380000000.0,Tangerang,6.0,4.0,220.0,337.0,3,SHM,22000.0,0.0,0.0,0.0,2.0,Bagus,19.755681813316283
97000000.0,Denpasar,3.0,3.0,160.0,155.0,1,SHM,33000.0,0.0,0.0,0.0,2.0,Bagus,18.390221546776935
90000000.0,Bekasi,4.0,3.0,268.0,170.0,2,SHM,13900.0,0.0,0.0,0.0,2.0,Bagus,18.31532023940565
35000000.0,Bogor,3.0,3.0,90.0,120.0,1,SHM,900.0,0.0,0.0,0.0,2.0,Bagus,17.370858648025116
40000000.0,Bekasi,3.0,2.0,90.0,180.0,1,SHM,9500.0,0.0,0.0,1.0,2.0,Bagus,17.50439003707821
70000000.0,Jakarta Utara,4.0,4.0,80.0,98.0,0,HGB,41500.0,0.0,0.0,0.0,2.0,Bagus,18.064005814299346
250000000.0,Jakarta Selatan,3.0,4.0,185.0,200.0,2,SHM,17600.0,0.0,0.0,1.0,2.0,Bagus,19.33697147982652
190000000.0,Jakarta Selatan,4.0,4.0,250.0,420.0,1,SHM,30500.0,1.0,1.0,0.0,2.0,Renovasi Minimum,19.06253463538792
490000000.0,Jakarta Utara,4.0,5.0,370.0,450.0,0,HGB,53000.0,0.0,0.0,0.0,3.0,Bagus,20.00991595110976
190000000.0,Jakarta Utara,3.0,3.0,160.0,180.0,2,Hak Sewa,10800.0,1.0,0.0,0.0,2.0,Bagus,19.06253463538792
320000000.0,Jakarta Selatan,3.0,3.0,250.0,375.0,2,SHM,10800.0,1.0,1.0,4.0,2.0,Bagus,19.583831556883048
110000000.0,Jakarta Utara,3.0,3.0,100.0,142.0,2,PPJB,10800.0,1.0,1.0,0.0,2.0,Bagus,18.5159909328476
140000000.0,Jakarta Utara,3.0,3.0,120.0,170.0,2,PPJB,10800.0,0.0,0.0,0.0,2.0,Bagus,18.757152987716434
70000000.0,Jakarta Utara,3.0,3.0,80.0,98.0,0,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.064005814299346
170000000.0,Jakarta Utara,3.0,3.0,150.0,203.0,0,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,18.951309000896888
215000000.0,Jakarta Utara,4.0,2.0,120.0,250.0,1,SHM,10800.0,1.0,1.0,1.0,3.0,Bagus,19.186148590743098
45000000.0,Jakarta Utara,2.0,1.0,60.0,80.0,1,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,17.622173069956816
340000000.0,Jakarta Selatan,3.0,3.0,250.0,200.0,0,SHM,10800.0,1.0,1.0,0.0,1.0,Bagus,19.644456178515657
145000000.0,Batam,4.0,4.0,200.0,350.0,2,HGB,10800.0,0.0,0.0,1.0,2.0,Bagus,18.7922443072814
250000000.0,Jakarta Utara,4.0,5.0,300.0,330.0,2,SHM,10800.0,1.0,1.0,1.0,2.0,Bagus,19.33697147982652
375000000.0,Jakarta Selatan,5.0,4.0,300.0,320.0,1,HGB,10800.0,0.0,0.0,1.0,2.0,Bagus,19.74243658660135
52000000.0,Jakarta Barat,2.0,2.0,60.0,87.0,1,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,17.76675429577647
40000000.0,Jakarta Utara,2.0,1.0,77.0,77.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Bagus,17.50439003707821
275000000.0,Tangerang Selatan,3.0,3.0,225.0,200.0,5,SHM,10800.0,0.0,0.0,0.0,2.0,Renovasi Total,19.432281659267208
50000000.0,Tangerang Selatan,3.0,1.0,120.0,100.0,0,SHM,10800.0,0.0,0.0,0.0,1.0,Sudah Renovasi,17.72753358339242
300000000.0,Jakarta Selatan,4.0,3.0,279.0,250.0,2,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,19.519293035953808
300000000.0,Jakarta Selatan,4.0,4.0,225.0,300.0,2,SHM,10800.0,1.0,1.0,0.0,2.0,Bagus,19.519293035953808
100000000.0,Denpasar,5.0,3.0,350.0,250.0,2,SHM,10800.0,0.0,0.0,0.0,2.0,Bagus,18.420680753952364
250000000.0,Bandung,5.0,3.0,510.0,485.0,2,SHM,10800.0,0.0,0.0,1.0,2.0,Bagus,19.33697147982652
