Harga Sewa;Lokasi;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Carport;Sertifikat;Daya Listrik;Kamar Tidur Pembantu;Kamar Mandi Pembantu;Garasi;Jumlah Lantai;Kondisi Properti
100000000;Pantai Indah Kapuk, Jakarta Utara;4.0;4.0;90;128;1;HGB;;0;0;0;;
70000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;75;98;1;HGB;;0;0;0;;
485000000;Pondok Indah, Jakarta Selatan;4.0;4.0;456;600;2;SHM;;0;0;;;
1000000000;Kebayoran Baru, Jakarta Selatan;8.0;4.0;943;550;5;SHM;;0;0;0;;
400000000;Cipete, Jakarta Selatan;5.0;3.0;736;800;2;SHM;;;;;;
10000000;Puri Gading, Badung;1.0;1.0;130;45;1;SHM;;0;0;0;;
350000000;Pejaten, Jakarta Selatan;5.0;4.0;617;259;0;SHM;16500;2;1;4;2;Bagus
890000000;Menteng, Jakarta Pusat;4.0;4.0;800;500;4;SHM;Lainnya;0;0;1;1;Bagus
2000000000;Mega Kuningan, Jakarta Selatan;8.0;7.0;2000;2500;10;SHM;Lainnya;0;0;2;2;Bagus
25000000;Depok, Sleman;4.0;1.0;200;80;3;SHM;;0;0;;;
350000000;Kembangan, Jakarta Barat;;;484;342;6;SHM;7700;0;0;0;;Butuh Renovasi
95000000;BSD, Tangerang;4.0;3.0;160;160;0;Lainnya;Lainnya;1;1;0;2;Bagus
90000000;Serpong, Tangerang Selatan;5.0;4.0;200;350;1;SHM;Lainnya;0;0;2;2;Bagus
110000000;Metland Puri, Jakarta Barat;3.0;2.0;120;130;2;SHM;3500;1;1;2;2;Bagus
100000000;Jagakarsa, Jakarta Selatan;3.0;3.0;60;200;1;SHM;;0;0;;;
260000000;Kayu Putih, Jakarta Timur;7.0;4.0;450;500;5;SHM;;0;0;;;
48000000;Telukjambe Timur, Karawang;3.0;2.0;90;114;0;SHM;Lainnya;0;0;1;2;Sudah Renovasi
380000000;Cisauk, Tangerang;6.0;4.0;220;337;3;Lainnya;;;;0;;
97000000;Gatot Subroto, Denpasar;3.0;3.0;160;155;1;SHM;;0;0;0;;
620000000;Kebon Melati, Jakarta Pusat;;;232;298;2;SHM;Lainnya;0;0;4;2;Renovasi Minimum
3000000000;Sanur, Denpasar;3.0;4.0;209;185;0;SHM;7600;0;0;;;
90000000;Summarecon Bekasi, Bekasi;4.0;3.0;268;170;2;SHM;;;;;;
35000000;Gunung Sindur, Bogor;3.0;3.0;90;120;1;SHM;Lainnya;0;0;0;2;Bagus
40000000;Prima Harapan, Bekasi;3.0;2.0;90;180;1;SHM;Lainnya;0;0;1;2;Bagus
70000000;Pantai Indah Kapuk 2, Jakarta Utara;4.0;4.0;80;98;0;HGB;Lainnya;0;0;0;;
250000000;Kemang, Jakarta Selatan;3.0;4.0;185;200;2;SHM;;;;;;
190000000;Kemang, Jakarta Selatan;4.0;4.0;250;420;1;SHM;11000;1;1;0;2;Renovasi Minimum
590000000;Cipete, Jakarta Selatan;4.0;3.0;800;500;8;SHM;23000;1;2;0;1;Bagus
685000000;Cipete, Jakarta Selatan;4.0;3.0;800;600;2;SHM;24000;1;3;2;1;Bagus
625000000;Cipete, Jakarta Selatan;4.0;3.0;800;500;8;SHM;23000;1;2;0;1;Bagus
490000000;Pantai Indah Kapuk, Jakarta Utara;4.0;5.0;370;450;0;HGB;Lainnya;0;0;0;3;Bagus
1000000000;Cipete, Jakarta Selatan;6.0;5.0;800;800;4;SHM;;;;0;;
780000000;Kemang, Jakarta Selatan;5.0;4.0;460;450;4;SHM;23000;2;1;0;2;Bagus
190000000;Pantai Indah Kapuk, Jakarta Utara;3.0;3.0;160;180;2;Hak Sewa;Lainnya;1;0;0;2;Bagus
550000000;Kemang, Jakarta Selatan;4.0;4.0;700;350;2;SHM;;;;;;
590000000;Kemang, Jakarta Selatan;5.0;4.0;534;900;4;SHM;Lainnya;2;3;0;2;Bagus
320000000;Kemang, Jakarta Selatan;3.0;3.0;250;375;2;SHM;Lainnya;1;1;4;2;Bagus
693000000;Kemang, Jakarta Selatan;4.0;4.0;550;480;2;SHM;Lainnya;0;0;2;2;Bagus
110000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;100;142;2;PPJB;Lainnya;1;1;0;2;Bagus
140000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;120;170;2;PPJB;;;;0;;
550000000;Kemang, Jakarta Selatan;4.0;4.0;700;300;2;SHM;Lainnya;0;0;2;1;Bagus
6000000000;Pantai Indah Kapuk, Jakarta Utara;4.0;4.0;184;250;2;SHM;;0;0;;;
70000000;Pantai Indah Kapuk 2, Jakarta Utara;3.0;3.0;80;98;0;SHM;Lainnya;0;0;0;;
170000000;Pantai Indah Kapuk, Jakarta Utara;3.0;3.0;150;203;0;Lainnya;4400;1;1;0;2;Bagus
215000000;Pantai Indah Kapuk, Jakarta Utara;4.0;2.0;120;250;1;SHM;5500;1;1;1;3;Bagus
45000000;Pantai Indah Kapuk, Jakarta Utara;2.0;1.0;60;80;1;SHM;4400;1;1;0;2;Bagus
340000000;Pejaten, Jakarta Selatan;3.0;3.0;250;200;0;SHM;Lainnya;1;1;0;1;Bagus
145000000;Batam Centre, Batam;4.0;4.0;200;350;2;HGB;;;;;;
550000000;Pantai Indah Kapuk, Jakarta Utara;3.0;4.0;250;600;2;SHM;11000;0;0;1;3;Sudah Renovasi
